Date,Sensor 1 Rainfall (mm),Sensor 2 Rainfall (mm)
2000-01-01,5.483570765056164,5.336421654330562
2000-01-02,2.3086784941440768,2.5488777608693436
2000-01-03,6.2384426905034625,5.906726484367635
2000-01-04,10.615149282040127,10.707058270420212
2000-01-05,1.8292331263833201,1.8974948058620935
2000-01-06,1.8293152152540972,2.0592715977817884
2000-01-07,10.896064077536957,10.972266412786059
2000-01-08,6.837173645764544,6.788261606003942
2000-01-09,0.6526280703252394,0.6195155221152232
2000-01-10,5.712800217929823,6.251450015278481
2000-01-11,0.6829115359376887,0.6994396255340081
2000-01-12,0.6713512321487156,0.7907663705382264
2000-01-13,4.209811357830171,3.8055790058370667
2000-01-14,0.0,0.0
2000-01-15,0.0,0.10375360892622494
2000-01-16,0.18856235379513653,0.0
2000-01-17,0.0,0.10987976673345023
2000-01-18,4.57123666297637,4.426211592092822
2000-01-19,0.0,0.0
2000-01-20,0.0,0.0
2000-01-21,10.328243844607771,10.633751616236642
2000-01-22,1.8711184975673216,1.9378020818653774
2000-01-23,3.337641023439619,3.155553747889434
2000-01-24,0.0,0.15506797046162152
2000-01-25,0.2780863773740867,0.4440340461924611
2000-01-26,3.5546129485493303,3.4783513283888023
2000-01-27,0.0,0.19183472501906482
2000-01-28,4.878490091728359,5.079840018848007
2000-01-29,0.0,0.17026639346934647
2000-01-30,1.541531251033616,1.4067808443858048
2000-01-31,0.0,0.0
2000-02-01,12.261390922544688,11.922817457704495
2000-02-02,2.9325138763103302,2.8014109484808207
2000-02-03,0.0,0.0
2000-02-04,7.112724560515945,7.055437343292411
2000-02-05,0.0,0.0
2000-02-06,4.044317975023777,4.390915684865797
2000-02-07,0.0,0.0
2000-02-08,0.0,0.0
2000-02-09,3.9843061793456176,3.6207878115557026
2000-02-10,6.692332899977052,7.137927192884661
2000-02-11,3.8568414059498526,3.5936599258108304
2000-02-12,2.4217585880587973,2.280387647160926
2000-02-13,1.494481522053556,1.6336259314275892
